category,resource_key,msg_id,final_zh,updated_at,compiled_at,reviewed_at,ai_reviewed_at,high_risk_at
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002 [摩尔加纳]]
[s][bup 0 3 2 0 0][vp 8 0 2 1002 0 3][f 4 10 65535 0 0]为了将吾辈等人赶尽杀绝，[n]它们是用上全力了！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:12.951Z,2026-09-01T04:36:12.951Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003 [摩尔加纳]]
[s][bup 0 3 2 0 0][vp 8 0 2 1003 0 3][f 4 10 65535 0 0]吾辈会协助你的，拼死战斗吧！[n]上吧！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:15.487Z,2026-09-01T04:36:15.487Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [摩尔加纳]]
[s][bup 0 3 1 0 0][vp 8 0 2 1004 0 3][f 4 10 65535 0 0]哼，果然是个外行。[n][f 1 3 65535][w][e]",,2026-09-01T04:36:16.133Z,2026-09-01T04:36:16.133Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005 [摩尔加纳]]
[s][bup 0 3 1 0 0][vp 8 0 2 1005 0 3][f 4 10 65535 0 0]战斗要这样才行！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:16.942Z,2026-09-01T04:36:16.942Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_006,"[msg MSG_BTLSTART_006 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1006 0 3][f 4 10 65535 0 0]攻击弱点，击倒敌人！[n]然后趁着这机会进一步发动攻击！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:18.662Z,2026-09-01T04:36:18.662Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_007,"[msg MSG_BTLSTART_007 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1007 0 3][f 4 10 65535 0 0]这是最最基本的！[n]好好记住了！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:19.194Z,2026-09-01T04:36:19.194Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_008,"[msg MSG_BTLSTART_008 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1008 0 3][f 4 10 65535 0 0]好了，赶快打开突破口吧！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:21.721Z,2026-09-01T04:36:21.721Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_009,"[msg MSG_BTLSTART_009 [摩尔加纳]]
[s][bup 0 3 1 0 0][vp 8 0 2 1009 0 3][f 4 10 65535 0 0]不仅如此！[n]只要制造出破绽，还能做到这种事！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:22.399Z,2026-09-01T04:36:22.399Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_010,"[msg MSG_BTLSTART_010 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1010 0 3][f 4 10 65535 0 0]这第二次行动的机会[n]就交给你了！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:23.377Z,2026-09-01T04:36:23.377Z,,
battle,BATTLE/EVENT/SCRIPT/0283,MSG_BTLSTART_011,"[msg MSG_BTLSTART_011 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1011 0 3][f 4 10 65535 0 0]不用手下留情，动手吧！！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:25.677Z,2026-09-01T04:36:25.677Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1001 0 3][f 4 10 65535 0 0]你手里拿着枪吧？[n]朝着暗影开枪！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:27.012Z,2026-09-01T04:36:27.012Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1002 0 3][f 4 10 65535 0 0]朝着暗影开枪！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:27.455Z,2026-09-01T04:36:27.455Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003]
[s]按住上方向键摆好开枪的姿势，[n]再按[clr 2]○键[clr 27]就能开枪射击了。[n][f 1 3 65535][w][e]
[s]在子弹用光之前，[n]能使用左右方向键更改攻击对象。[n][f 1 3 65535][w][e]",,2026-09-01T04:36:30.627Z,2026-09-01T04:36:30.627Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [摩尔加纳]]
[s][bup 0 3 1 0 0][vp 8 0 2 1002 0 3][f 4 10 65535 0 0]怎么样！[n]吓了一跳吧？[n][f 1 3 65535][w][e]",,2026-09-01T04:36:31.569Z,2026-09-01T04:36:31.569Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1003 0 3][f 4 10 65535 0 0]比起用小刀，[n]多数时候开枪连射效果更好。[n][f 1 3 65535][w][e]",,2026-09-01T04:36:36.145Z,2026-09-01T04:36:36.145Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_006,"[msg MSG_BTLSTART_006 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1004 1 3][f 4 10 65535 0 0]当然，子弹会打完，[n]但总比留着子弹不开枪好！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:37.908Z,2026-09-01T04:36:37.908Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_007,"[msg MSG_BTLSTART_007]
[s]枪械是强有力的攻击手段，[n]但每个角色都有不同的装弹数限制，[n]宫殿攻略时无法恢复。[n][f 1 3 65535][w][e]
[s]离开宫殿后，[n]已用掉的子弹数将会恢复到最大数值。[n][f 1 3 65535][w][e]",,2026-09-01T04:36:40.917Z,2026-09-01T04:36:40.917Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_008,"[msg MSG_BTLSTART_008 [摩尔加纳]]
[s][bup 0 3 1 0 0][vp 8 0 2 1005 0 3][f 4 10 65535 0 0]好，也见识一下吾辈的武器吧！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:43.694Z,2026-09-01T04:36:43.694Z,,
battle,BATTLE/EVENT/SCRIPT/0284,MSG_BTLSTART_009,"[msg MSG_BTLSTART_009 [摩尔加纳]]
[s]接招吧，必杀弹弓突击！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:45.963Z,2026-09-01T04:36:45.963Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1049 0 3][f 4 10 65535 0 0]之前教过你们ＨＯＬＤ ＵＰ和总攻击吧？[n]这次是那些战斗方法的应用篇。[n][f 1 3 65535][w][e]
[s][vp 8 0 2 1050 0 3][f 4 10 65535 0 0]吾辈会教你们ＨＯＬＤ ＵＰ[n]除了打倒敌人以外的其他用法。[n][f 1 3 65535][w][e]",,2026-09-01T04:36:52.656Z,2026-09-01T04:36:52.656Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1051 0 3][f 4 10 65535 0 0]暗影是从人类内心诞生的存在。[n]因此会说话是理所当然的。[n][f 1 3 65535][w][e]
[s][vp 8 0 2 1052 0 3][f 4 10 65535 0 0]也就是说能进行『对话』，懂了吗 ？[n][f 1 3 65535][w][e]",,2026-09-01T04:36:54.036Z,2026-09-01T04:36:54.036Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1053 0 3][f 4 10 65535 0 0]把它们逼到绝境后再和它们对话，[n]它们就有可能为了保命而主动交出财物。[n][f 1 3 65535][w][e]
[s][vp 8 0 2 1054 0 3][f 4 10 65535 0 0]实际上，比起打倒它们，[n]这样获得好东西的概率会更高。[n][f 1 3 65535][w][e]",,2026-09-01T04:36:54.511Z,2026-09-01T04:36:54.511Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [摩尔加纳]]
[s][bup 0 3 0 0 0][vp 8 0 2 1055 0 3][f 4 10 65535 0 0]那么，成功的第一步！[n]击倒敌人让它们ＨＯＬＤ ＵＰ吧！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:55.442Z,2026-09-01T04:36:55.442Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005]
[s]※未使用[n]令出现的所有敌人陷入倒地状态，[n]就能进入『ＨＯＬＤ ＵＰ』。[n][f 1 3 65535][w][e]",,2026-09-01T04:36:56.584Z,2026-09-01T04:36:56.584Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_006,"[msg MSG_BTLSTART_006 [摩尔加纳]]
[s]就是现在！包围上去！[n][f 1 3 65535][w][e]",,2026-09-01T04:36:58.217Z,2026-09-01T04:36:58.217Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_007,"[msg MSG_BTLSTART_007 [摩尔加纳]]
[s][bup 0 3 4 0 0][vp 8 0 2 1056 0 3][f 4 10 65535 0 0]刚才那是什么……[n]发生了什么事……！？[n][f 1 3 65535][w][e]",,2026-09-01T04:36:59.233Z,2026-09-01T04:36:59.233Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_008,"[msg MSG_BTLSTART_008 [摩尔加纳]]
[s][bup 0 3 1 0 0][vp 8 0 2 1028 0 3]嘿嘿……看来你果然能派得上用场！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:00.067Z,2026-09-01T04:37:00.067Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_009,"[msg MSG_BTLSTART_009 [摩尔加纳]]
[s]好，弱点就由吾辈来记。[n][f 1 3 65535][w][e]",,2026-09-01T04:37:01.273Z,2026-09-01T04:37:01.273Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_010,"[msg MSG_BTLSTART_010 [摩尔加纳]]
[s]吾辈的记忆力可是一流的！[n]这是怪盗的必备技能之一！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:02.862Z,2026-09-01T04:37:02.862Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_011,"[msg MSG_BTLSTART_011 [摩尔加纳]]
[s]选择战斗命令ANALYSIS[n]或者按下[clr 2]Ｌ２键[clr 27]就能确认敌人的情报。[n][f 1 3 65535][w][e]",,2026-08-22T04:21:13.762Z,2026-08-22T04:21:13.762Z,,
battle,BATTLE/EVENT/SCRIPT/0285,MSG_BTLSTART_012,"[msg MSG_BTLSTART_012 [摩尔加纳]]
[s]另外，在拥有攻击敌人弱点技能的情况下，[n]只要按[clr 2]Ｒ２键[clr 27]，[n]『导航』功能就会自动选择出符合条件的技能。[n][f 1 3 65535][w][e]",,2026-08-22T04:21:14.425Z,2026-08-22T04:21:14.425Z,,
battle,BATTLE/EVENT/SCRIPT/0286,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001 [高卷 杏]]
[s][bup 0 4 0 65535 0]不是吧！？被追上了！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:03.948Z,2026-09-01T04:37:03.948Z,,
battle,BATTLE/EVENT/SCRIPT/0286,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002 [坂本 龙司]]
[s][bup 0 2 0 65535 0]那是暗影吧？[n]和平时不太一样吧……？[n][f 1 3 65535][w][e]",,2026-09-01T04:37:07.733Z,2026-09-01T04:37:07.733Z,,
battle,BATTLE/EVENT/SCRIPT/0286,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003 [摩尔加纳]]
[s][bup 0 3 0 0 0]因为这里的警戒度提高了！[n]所以出现了比平时更强的暗影！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:09.981Z,2026-09-01T04:37:09.981Z,,
battle,BATTLE/EVENT/SCRIPT/0286,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [摩尔加纳]]
[s][bup 0 3 0 0 0]和那些家伙是没办法对话的！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:10.628Z,2026-09-01T04:37:10.628Z,,
battle,BATTLE/EVENT/SCRIPT/0286,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005 [摩尔加纳]]
[s][bup 0 3 0 0 0]只要考虑怎么打倒它们就好！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:12.163Z,2026-09-01T04:37:12.163Z,,
battle,BATTLE/EVENT/SCRIPT/0287,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001 [摩尔加纳]]
[s][bup 0 3 5 0 0][vp 8 0 2 1001 0 3][f 4 10 65535 0 0]呜，被包围了！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:12.652Z,2026-09-01T04:37:12.652Z,,
battle,BATTLE/EVENT/SCRIPT/0287,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002 [哨兵暗影]]
[s][vp 8 0 2 1002 1 0]杀了你们！奉鸭志田大人的命令，杀了你们！[n]因为这是大人所愿，所以杀了你们！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:17.283Z,2026-09-01T04:37:17.283Z,,
battle,BATTLE/EVENT/SCRIPT/0287,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003 [摩尔加纳]]
[s][bup 0 3 5 0 0][vp 8 0 2 1003 0 3][f 4 10 65535 0 0]一个个冒出来，没完没了！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:20.030Z,2026-09-01T04:37:20.030Z,,
battle,BATTLE/EVENT/SCRIPT/0287,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [哨兵暗影]]
[s][vp 8 0 2 1004 1 0]杀了你们！奉鸭志田大人的命令，杀了你们！[n]因为想杀所以杀了你们！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:21.511Z,2026-09-01T04:37:21.511Z,,
battle,BATTLE/EVENT/SCRIPT/0287,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005 [哨兵暗影]]
[s][vp 8 2 2 52069 1 0]ＥＸ双角兽[n]你们都是垃圾！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:23.105Z,2026-09-01T04:37:23.105Z,,
battle,BATTLE/EVENT/SCRIPT/0287,MSG_BTLSTART_006,"[msg MSG_BTLSTART_006 [摩尔加纳]]
[s][bup 0 3 3 0 0][vp 8 0 2 1005 0 3][f 4 10 65535 0 0]这下……可麻烦了啊……[n][f 1 3 65535][w][e]",,2026-09-01T04:37:24.951Z,2026-09-01T04:37:24.951Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001 [警卫队长]]
[s][vp 8 0 2 1001 1 256]你这个让鸭志田大人头痛的问题学生！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:32.856Z,2026-09-01T04:37:32.856Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002 [坂本 龙司]]
[s][bup 0 2 122 65535 0][vp 8 0 2 1002 0 2][f 4 10 65535 0 0]反正鸭志田的认知也不会变吧？[n]那我就继续当个问题学生好了！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:34.090Z,2026-09-01T04:37:34.090Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003 [坂本 龙司]]
[s][bup 0 2 102 65535 0]竟然敢做出这种看不起人的事，[n]看来你是已经做好觉悟了吧？[n][f 1 3 65535][w][e]",,2026-09-01T04:37:35.438Z,2026-09-01T04:37:35.438Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [坂本 龙司]]
[s][bup 0 2 122 65535 0][vp 8 0 2 1003 0 2][f 4 10 65535 0 0]上吧！我的基德！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:36.287Z,2026-09-01T04:37:36.287Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005 [警卫队长]]
[s][vp 8 0 2 1004 1 256]这不可能……！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:36.849Z,2026-09-01T04:37:36.849Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_006,"[msg MSG_BTLSTART_006 [坂本 龙司]]
[s][bup 0 2 102 65535 0][vp 8 0 2 1005 0 2][f 4 10 65535 0 0]是啊，不可能吧？[n]你找错挑衅对象了，混账东西！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:38.836Z,2026-09-01T04:37:38.836Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_007,"[msg MSG_BTLSTART_007 [警卫队长]]
[s][vp 8 0 2 1006 1 256]我……我可是，无比荣耀的……[n]鸭志田大人的家臣……啊……[n][f 1 3 65535][w][e]
[s][vp 8 0 2 1007 1 256]为什么……我会，败北……！？[n][f 1 3 65535][w][e]",,2026-09-01T04:37:39.514Z,2026-09-01T04:37:39.514Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_008,"[msg MSG_BTLSTART_008 [警卫队长]]
[s]为什么……我会，败北……！？[n][f 1 3 65535][w][e]",,2026-09-01T04:37:40.010Z,2026-09-01T04:37:40.010Z,,
battle,BATTLE/EVENT/SCRIPT/0288,MSG_BTLSTART_009,"[msg MSG_BTLSTART_009 [坂本 龙司]]
[s][bup 0 2 101 65535 0][vp 8 0 2 1008 0 2][f 4 10 65535 0 0]只是因为鸭志田也没什么大不了的吧？[n][f 1 3 65535][w][e]",,2026-09-01T04:37:41.199Z,2026-09-01T04:37:41.199Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001]
[s]成功偷袭敌人的话，[n]就能用枪械发动先制攻击『随意开火』。[n][f 1 3 65535][w][e]
[s]除了对敌人全员造成一定量的伤害以外，[n]还能通过连续按[clr 2]○键[clr 27]，[n]无视属性，以一定概率击倒敌人。[n][f 1 3 65535][w][e]",,2026-09-01T04:37:48.771Z,2026-09-01T04:37:48.771Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002]
[s]dummy[n][f 1 3 65535][w][e]",,2026-09-01T04:37:49.319Z,2026-09-01T04:37:49.319Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003 [坂本 龙司]]
[s][bup 0 2 0 65535 0]好啊！全部都倒下了！[n]一起暴揍一顿吧！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:53.947Z,2026-09-01T04:37:53.947Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [坂本 龙司]]
[s]同时发动攻击！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:54.351Z,2026-09-01T04:37:54.351Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005 [摩尔加纳]]
[s][bup 0 3 0 0 0]也可以像刚才那样进行『对话』[n]向对方提出要求。[n][f 1 3 65535][w][e]",,2026-09-01T04:37:55.360Z,2026-09-01T04:37:55.360Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_006,"[msg MSG_BTLSTART_006 [坂本 龙司]]
[s][bup 0 2 0 65535 0]总之利用攻击弱点和偷袭[n]击倒敌人就可以了！[n][f 1 3 65535][w][e]",,2026-09-01T04:37:55.804Z,2026-09-01T04:37:55.804Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_007,"[msg MSG_BTLSTART_007 [坂本 龙司]]
[s]dummy[n][f 1 3 65535][w][e]",,2026-09-01T04:37:56.220Z,2026-09-01T04:37:56.220Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_008,"[msg MSG_BTLSTART_008]
[s]在敌方全员都倒地，[n]处于ＨＯＬＤ ＵＰ的状态时，[n]就能发动『总攻击』。[n][f 1 3 65535][w][e]
[s]能对敌方全员造成万能属性的大量伤害。[n][f 1 3 65535][w][e]
[s]『通过总攻击造成高伤害』[n]『通过谈判获得人格面具』[n]这两点都是以ＨＯＬＤ ＵＰ为起点。[n][f 1 3 65535][w][e]
[s]调查敌人的弱点，[n]积极地使其倒地，就是攻略的捷径。[n][f 1 3 65535][w][e]",2026-08-06T02:24:54.720Z,2026-08-10T06:55:31.841Z,2026-09-01T04:37:57.611Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_009,"[msg MSG_BTLSTART_009 [坂本 龙司]]
[s]dummy[n][f 1 3 65535][w][e]",,2026-09-01T04:37:57.998Z,2026-09-01T04:37:57.998Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_010,"[msg MSG_BTLSTART_010 [坂本 龙司]]
[s]dummy[n][f 1 3 65535][w][e]",,2026-09-01T04:37:58.341Z,2026-09-01T04:37:58.341Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_011,"[msg MSG_BTLSTART_011 [坂本 龙司]]
[s]dummy[n][f 1 3 65535][w][e]",,2026-09-01T04:37:58.685Z,2026-09-01T04:37:58.685Z,,
battle,BATTLE/EVENT/SCRIPT/0289,MSG_BTLSTART_012,"[msg MSG_BTLSTART_012 [坂本 龙司]]
[s][vp 8 2 2 7 65535 65535]龙司的提案[n]启发了关于新攻击方式的想法……！[n][f 1 3 65535][w][e]",,2026-09-01T04:38:01.589Z,2026-09-01T04:38:01.589Z,,
battle,BATTLE/EVENT/SCRIPT/028A,MSG_BTLSTART_001,"[msg MSG_BTLSTART_001 [坂本 龙司]]
[s][bup 0 2 0 65535 0]被包围了！[n]这很糟糕吧……！？[n][f 1 3 65535][w][e]",,2026-09-01T12:35:14.057Z,2026-09-01T04:38:06.404Z,,
battle,BATTLE/EVENT/SCRIPT/028A,MSG_BTLSTART_002,"[msg MSG_BTLSTART_002 [摩尔加纳]]
[s][bup 0 3 0 0 0]你们，要撑下去啊……！[n][f 1 3 65535][w][e]",,2026-09-01T12:35:14.057Z,2026-09-01T04:38:07.681Z,,
battle,BATTLE/EVENT/SCRIPT/028A,MSG_BTLSTART_003,"[msg MSG_BTLSTART_003 [摩尔加纳]]
[s]看清楚局势，然后战斗。[n][f 1 3 65535][w][e]",,2026-09-01T12:35:14.057Z,2026-09-01T04:38:08.233Z,,
battle,BATTLE/EVENT/SCRIPT/028A,MSG_BTLSTART_004,"[msg MSG_BTLSTART_004 [摩尔加纳]]
[s]看来你终于知道这个工作[n]该怎么做了啊。[n][f 1 3 65535][w][e]",2026-09-01T04:38:29.334Z,2026-09-01T12:35:14.057Z,2026-09-01T04:38:29.718Z,,
battle,BATTLE/EVENT/SCRIPT/028A,MSG_BTLSTART_005,"[msg MSG_BTLSTART_005]
[s]受到敌人的偷袭时，[n]会在被包围的情况下开始战斗。[n][f 1 3 65535][w][e]
[s]除了战斗开始时会遭受敌人的单方面攻击，[n]还无法执行逃跑等部分行动。[n][f 1 3 65535][w][e]",,2026-09-01T12:35:14.057Z,2026-09-01T04:38:31.796Z,,
